ARB ID,Facility Name,"Report
Year","Total CO2e 
(combustion, process, vented, and supplier)",AEL, Emitter CO2e from Non-Biogenic Sources and CH4 and N2O from Biogenic Fuels , Emitter CO2 from Biogenic Fuels , Fuel Supplier CO2e from Non-Biogenic Fuels and CH4 and N2O from Biogenic Fuels , Fuel Supplier CO2 from Biogenic Fuels , Electricity Importer CO2e  ," Emitter Covered
Emissions "," Fuel Supplier Covered
Emissions ", Electricity Importer Covered Emissions , Total Covered Emissions , Total Non-Covered Emissions  ,Emissions Data,Product Data,Verification Body,City,State,Zip Code,"North American Industry Classification System (NAICS) 
Code and Description",U.S.EPA/ARB Subparts,Industry Sector
3006,3 Phases Renewables,2015,"49,391",No,0,0,0,0,"49,391",0,0,"18,933","18,933","30,458",Positive,N/A,Analytical Environmental Services,El Segundo,CA,90245,221122 - Electric Power Distribution,EPE,Electricity Importer
104356,3M Corona,2015,"14,809",No,"14,809",0,0,0,0,0,0,0,0,"14,809",N/A,N/A,,Corona,CA,92881,212319 - Other Crushed and Broken Stone Mining and Quarrying,C,Other Combustion Source
104213,ABI Foundry,2015,"15,857",No,"15,857",0,0,0,0,0,0,0,0,"15,857",N/A,N/A,,Oakland,CA,94621,331511 - Iron Foundries,C,Other Combustion Source
100001,ACE Cogeneration,2015,0,No,0,0,0,0,0,0,0,0,0,0,Positive,N/A,SCS Engineers,Trona,CA,93562,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
104347,"Aemetis Advanced Fuels Keyes, Inc.",2015,"69,826",No,"69,826",0,0,0,0,"69,826",0,0,"69,826",0,Positive,N/A,Analytical Environmental Services,Ceres,CA,95307,325193 - Ethyl Alcohol Manufacturing,C,Other Combustion Source
104019,Aera Energy Belridge Gas Plant 32,2015,"159,763",No,"33,441",0,"126,322",0,0,"33,342","20,976",0,"54,318","105,445",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",McKittrick,CA,93251,211111 - Crude Petroleum and Natural Gas Extraction,"C,NN,W","Oil and Gas Production / Supplier of Natural Gas, NGL, or LPG"
104018,Aera Energy Coastal Basins,2015,"231,065",No,"231,065",0,0,0,0,"229,733",0,0,"229,733","1,331",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",San Ardo,CA,93450,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104016,Aera Energy San Joaquin Basin,2015,"3,342,461",No,"3,342,461",0,0,0,0,"3,288,623",0,0,"3,288,623","53,838",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",Bakersfield,CA,93311,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104017,Aera Energy Ventura Basin (opt-in 2014),2015,"12,976",No,"12,976",0,0,0,0,"5,635",0,0,"5,635","7,341",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",Ventura,CA,93301,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104020,Aera Energy Ventura Gas Plant,2015,"4,923",No,"4,923",0,0,0,0,0,0,0,0,"4,923",N/A,N/A,,Ventura,CA,93001,211111 - Crude Petroleum and Natural Gas Extraction,C,Oil and Gas Production
104382,Aerojet Rocketdyne,2015,"9,511",No,"9,511",0,0,0,0,0,0,0,0,"9,511",N/A,N/A,,Sacramento,CA,95742-6418,336415 - Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,C,Other Combustion Source
101321,"AES Alamitos, LLC",2015,"684,896",No,"684,896",0,0,0,0,"684,896",0,0,"684,896",0,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",Long Beach,CA,90803,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100194,"AES Huntington Beach, LLC",2015,"432,210",No,"432,210",0,0,0,0,"432,210",0,0,"432,210",0,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",Huntington Beach,CA,92646,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100257,AES Redondo Beach LLC,2015,"318,370",No,"318,370",0,0,0,0,"318,370",0,0,"318,370",0,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",Redondo Beach,CA,90277,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
104554,Agron Bioenergy,2015,"14,913",No,0,0,13,"14,900",0,0,0,0,0,"14,913",Positive,N/A,Locus Technologies,Watsonville,CA,95076,325199 - All Other Basic Organic Chemical Manufacturing,MM,Transportation Fuel Supplier
101701,Air Liquide El Segundo Hydrogen Plant,2015,"552,487",No,"552,487",0,0,0,0,"552,487",0,0,"552,487",0,Positive,Positive,Locus Technologies,El Segundo,CA,90245,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101749,Air Liquide Large Industries US L.P. - Rodeo Hydrogen Plant,2015,"819,886",No,"819,886",0,0,0,0,"819,886",0,0,"819,886",0,Positive,Positive,Locus Technologies,Rodeo,CA,94572,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101017,"Air Products & Chemicals, Inc., Martinez",2015,"196,728",No,"196,728",0,0,0,0,"196,728",0,0,"196,728",0,Positive,Positive,Ramboll Environ US Corporation,Martinez,CA,94553,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
101248,Air Products Carson Hydrogen Plant,2015,"673,014",No,"673,014",0,0,0,0,"673,014",0,0,"673,014",0,Positive,Positive,Ramboll Environ US Corporation,Carson,CA,90810,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101512,"Air Products Manufacturing Corporation, Sacramento",2015,"44,205",No,"44,205",0,0,0,0,"44,205",0,0,"44,205",0,Positive,Positive,Ramboll Environ US Corporation,Sacramento,CA,95826,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
100127,Air Products Wilmington Hydrogen Plant,2015,"633,296",No,"633,296",0,0,0,0,"633,296",0,0,"633,296",0,Qualified Positive,Positive,Ramboll Environ US Corporation,Wilmington,CA,90744,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
3022,Alameda Municipal Power,2015,0,No,0,0,0,0,0,0,0,0,0,0,N/A,N/A,,Alameda,CA,94501,221122 - Electric Power Distribution,EPE,Electricity Importer
101433,"Algonquin Power Sanger, LLC",2015,"58,207",No,"58,207",0,0,0,0,"58,207",0,0,"58,207",0,Positive,N/A,SCS Engineers,Sanger,CA,93657,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
