ARB ID,Facility Name,"Report
Year","Total CO2e 
(combustion, process, vented, and supplier)",AEL, Emitter CO2e from Non-Biogenic Sources and CH4 and N2O from Biogenic Fuels , Emitter CO2 from Biogenic Fuels , Fuel Supplier CO2e from Non-Biogenic Fuels and CH4 and N2O from Biogenic Fuels , Fuel Supplier CO2 from Biogenic Fuels , Electricity Importer CO2e  ," Emitter Covered
Emissions "," Fuel Supplier Covered
Emissions ", Electricity Importer Covered Emissions , Total Covered Emissions , Total Non-Covered Emissions  ,Emissions Data,Product Data,Verification Body,City,State,Zip Code,"North American Industry Classification System (NAICS) 
Code and Description",U.S.EPA/ARB Subparts,Industry Sector
3006,3 Phases Renewables,2013,"5,656",No,0,0,0,0,"5,656",0,0,"3,780","3,780","1,876",Positive,N/A,Analytical Environmental Services,El Segundo,CA,90245,221122 - Electric Power Distribution,EPE,Electricity Importer
104356,3M Corona,2013,"13,094",No,"13,094",0,0,0,0,0,0,0,0,"13,094",N/A,N/A,,Corona,CA,92881,212319 - Other Crushed and Broken Stone Mining and Quarrying,C,Other Combustion Source
104213,ABI Foundry,2013,"13,925",No,"13,925",0,0,0,0,0,0,0,0,"13,925",N/A,N/A,,Oakland,CA,94621,331511 - Iron Foundries,C,Other Combustion Source
100001,ACE Cogeneration,2013,"325,824",No,"325,824",0,0,0,0,"325,824",0,0,"325,824",0,Positive,N/A,Analytical Environmental Services,Trona,CA,93562,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
104347,"Aemetis Advanced Fuels Keyes, Inc.",2013,"55,566",No,"55,566",0,0,0,0,"55,566",0,0,"55,566",0,Positive,N/A,Analytical Environmental Services,Ceres,CA,95307,325193 - Ethyl Alcohol Manufacturing,C,Other Combustion Source
104019,Aera Energy Belridge Gas Plant 32,2013,"192,958",No,"34,678",0,"158,280",0,0,"34,504","33,991",0,"68,495","124,463",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",McKittrick,CA,93251,211112 - Natural Gas Liquid Extraction,"C,NN,W","Oil and Gas Production / Supplier of Natural Gas, NGL, or LPG"
104018,Aera Energy Coastal Basins,2013,"198,501",No,"198,501",0,0,0,0,"189,977",0,0,"189,977","8,524",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",San Ardo,CA,93450,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104016,Aera Energy San Joaquin Basin,2013,"3,331,119",No,"3,331,119",0,0,0,0,"3,165,856",0,0,"3,165,856","165,263",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",Bakersfield,CA,93311,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104017,Aera Energy Ventura Basin (opt-in 2014),2013,"19,704",No,"19,704",0,0,0,0,0,0,0,0,"19,704",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",Ventura,CA,93301,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104020,Aera Energy Ventura Gas Plant,2013,"6,995",No,"6,995",0,0,0,0,0,0,0,0,"6,995",N/A,N/A,,Ventura,CA,93001,211112 - Natural Gas Liquid Extraction,C,Oil and Gas Production
104382,Aerojet Rocketdyne,2013,"10,081",No,"10,081",0,0,0,0,0,0,0,0,"10,081",N/A,N/A,,Sacramento,CA,95742-6418,336415 - Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,C,Other Combustion Source
101321,"AES Alamitos, LLC",2013,"895,129",No,"895,129",0,0,0,0,"895,129",0,0,"895,129",0,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",Long Beach,CA,90803,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100194,"AES Huntington Beach, LLC",2013,"498,407",No,"498,407",0,0,0,0,"498,407",0,0,"498,407",0,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",Huntington Beach,CA,92646,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
