ARB ID,Facility Name,"Report
Year","Total CO2e 
(combustion, process, vented, and supplier)",AEL, Emitter CO2e from Non-Biogenic Sources and CH4 and N2O from Biogenic Fuels , Emitter CO2 from Biogenic Fuels , Fuel Supplier CO2e from Non-Biogenic Fuels and CH4 and N2O from Biogenic Fuels , Fuel Supplier CO2 from Biogenic Fuels , Electricity Importer CO2e  ," Emitter Covered
Emissions "," Fuel Supplier Covered
Emissions ", Electricity Importer Covered Emissions , Total Covered Emissions , Total Non-Covered Emissions  ,Emissions Data,Product Data,Verification Body,City,State,Zip Code,"North American Industry Classification System (NAICS) 
Code and Description",U.S.EPA/ARB Subparts,Industry Sector
3006,3 Phases Renewables,2014,0,No,0,0,0,0,0,0,0,0,0,0,Positive,N/A,Analytical Environmental Services,El Segundo,CA,90245,221122 - Electric Power Distribution,EPE,Electricity Importer
104356,3M Corona,2014,"12,179",No,"12,179",0,0,0,0,0,0,0,0,"12,179",N/A,N/A,,Corona,CA,92881,212319 - Other Crushed and Broken Stone Mining and Quarrying,C,Other Combustion Source
104213,ABI Foundry,2014,"16,231",No,"16,231",0,0,0,0,0,0,0,0,"16,231",N/A,N/A,,Oakland,CA,94621,331511 - Iron Foundries,C,Other Combustion Source
100001,ACE Cogeneration,2014,"368,448",No,"368,448",0,0,0,0,"368,448",0,0,"368,448",0,Positive,N/A,Analytical Environmental Services,Trona,CA,93562,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
104347,"Aemetis Advanced Fuels Keyes, Inc.",2014,"75,371",No,"75,371",0,0,0,0,"75,371",0,0,"75,371",0,Positive,N/A,Analytical Environmental Services,Ceres,CA,95307,325193 - Ethyl Alcohol Manufacturing,C,Other Combustion Source
104019,Aera Energy Belridge Gas Plant 32,2014,"179,057",No,"42,982",0,"136,075",0,0,"42,695","23,788",0,"66,483","112,574",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",McKittrick,CA,93251,211111 - Crude Petroleum and Natural Gas Extraction,"C,NN,W","Oil and Gas Production / Supplier of Natural Gas, NGL, or LPG"
104018,Aera Energy Coastal Basins,2014,"226,585",No,"226,585",0,0,0,0,"225,721",0,0,"225,721",864,Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",San Ardo,CA,93450,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104016,Aera Energy San Joaquin Basin,2014,"3,300,514",No,"3,300,514",0,0,0,0,"3,246,254",0,0,"3,246,254","54,260",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",Bakersfield,CA,93311,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104017,Aera Energy Ventura Basin (opt-in 2013),2014,"20,076",No,"20,076",0,0,0,0,"16,381",0,0,"16,381","3,695",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",Ventura,CA,93301,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104020,Aera Energy Ventura Gas Plant,2014,"5,130",No,"5,130",0,0,0,0,0,0,0,0,"5,130",N/A,N/A,,Ventura,CA,93001,211111 - Crude Petroleum and Natural Gas Extraction,C,Oil and Gas Production
104382,Aerojet Rocketdyne,2014,"9,081",No,"9,081",0,0,0,0,0,0,0,0,"9,081",N/A,N/A,,Sacramento,CA,95742-6418,336415 - Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,C,Other Combustion Source
101321,"AES Alamitos, LLC",2014,"840,968",No,"840,968",0,0,0,0,"840,968",0,0,"840,968",0,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",Long Beach,CA,90803,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100194,"AES Huntington Beach, LLC",2014,"530,005",No,"530,005",0,0,0,0,"530,005",0,0,"530,005",0,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",Huntington Beach,CA,92646,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100257,AES Redondo Beach LLC,2014,"177,457",No,"177,457",0,0,0,0,"177,457",0,0,"177,457",0,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",Redondo Beach,CA,90277,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
104006,Agrium US Inc,2014,"17,062",No,"17,062",0,0,0,0,"17,062",0,0,"17,062",0,Positive,Positive,"DEKRA Certification, Inc. (DCI)",West Sacramento,CA,95691,325311 - Nitrogenous Fertilizer Manufacturing,"C,V",Other Combustion Source
104554,Agron Bioenergy,2014,"37,569",No,0,0,33,"37,536",0,0,0,0,0,"37,569",Positive,N/A,Locus Technologies,Watsonville,CA,95076,325199 - All Other Basic Organic Chemical Manufacturing,MM,Transportation Fuel Supplier
101701,Air Liquide El Segundo Hydrogen Plant,2014,"615,058",No,"615,058",0,0,0,0,"615,058",0,0,"615,058",0,Positive,Positive,Locus Technologies,El Segundo,CA,90245,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101749,Air Liquide Large Industries US L.P. - Rodeo Hydrogen Plant,2014,"815,746",No,"815,746",0,0,0,0,"815,746",0,0,"815,746",0,Positive,Positive,Locus Technologies,Rodeo,CA,94572,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101017,"Air Products & Chemicals, Inc., Martinez",2014,"255,203",No,"255,203",0,0,0,0,"255,203",0,0,"255,203",0,Positive,Positive,"GHD Services, Inc.",Martinez,CA,94553,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
101248,Air Products Carson Hydrogen Plant,2014,"682,332",No,"682,332",0,0,0,0,"682,332",0,0,"682,332",0,Positive,Positive,"GHD Services, Inc.",Carson,CA,90810,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101512,"Air Products Manufacturing Corporation, Sacramento",2014,"44,858",No,"44,858",0,0,0,0,"44,858",0,0,"44,858",0,Positive,Positive,"GHD Services, Inc.",Sacramento,CA,95826,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
