ARB ID,Facility Name,"Report
Year","Total CO2e 
(combustion, process, vented, and supplier)",AEL, Emitter CO2e from Non-Biogenic Sources and CH4 and N2O from Biogenic Fuels , Emitter CO2 from Biogenic Fuels , Fuel Supplier CO2e from Non-Biogenic Fuels and CH4 and N2O from Biogenic Fuels , Fuel Supplier CO2 from Biogenic Fuels , Electricity Importer CO2e  ," Emitter Covered
Emissions "," Fuel Supplier Covered
Emissions ", Electricity Importer Covered Emissions , Total Covered Emissions , Total Non-Covered Emissions  ,Emissions Data,Product Data,Verification Body,City,State,Zip Code,"North American Industry Classification System (NAICS) 
Code and Description",U.S.EPA/ARB Subparts,Industry Sector
3006,3 Phases Renewables,2011,0,No,0,0,0,0,0,0,0,0,0,0,N/A,N/A,,Manhattan Beach,CA,90266,541690 - Other Scientific and Technical Consulting Services,EPE,Electricity Importer
100001,ACE Cogeneration,2011,"785,978",No,"785,978",0,0,0,0,"785,978",0,0,"785,978",0,Positive,N/A,Analytical Environmental Services,Trona,CA,93562,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
104347,"Aemetis Advanced Fuels Keyes, Inc.",2011,"54,101",No,"54,101",0,0,0,0,"54,101",0,0,"54,101",0,Positive (late verif.),N/A,Analytical Environmental Services,Keyes,CA,95328,325193 - Ethyl Alcohol Manufacturing,C,Other Combustion Source
104019,Aera Energy Belridge Gas Plant 32,2011,"262,094",No,"51,927",0,"210,167",0,0,"51,927","52,251",0,"104,178","157,916",Positive,Positive,NSF International Strategic Registrations Ltd.,McKittrick,CA,93251,211112 - Natural Gas Liquid Extraction,"C,NN,W","Oil and Gas Production / Supplier of Natural Gas, NGL, or LPG"
104018,Aera Energy Coastal Basins,2011,"153,304",No,"153,304",0,0,0,0,"153,304",0,0,"153,304",0,Positive,Positive,NSF International Strategic Registrations Ltd.,San Ardo,CA,93450,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104016,Aera Energy San Joaquin Basin,2011,"3,204,897",No,"3,204,897",0,0,0,0,"3,169,476",0,0,"3,169,476","35,421",Positive,Positive,NSF International Strategic Registrations Ltd.,Bakersfield,CA,93311,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104017,Aera Energy Ventura Basin,2011,"12,598",No,"12,598",0,0,0,0,0,0,0,0,"12,598",Positive,Positive,NSF International Strategic Registrations Ltd.,Ventura,CA,93301,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104020,Aera Energy Ventura Gas Plant,2011,"7,567",No,"7,567",0,0,0,0,0,0,0,0,"7,567",Positive,N/A,NSF International Strategic Registrations Ltd.,Ventura,CA,93001,211112 - Natural Gas Liquid Extraction,C,Oil and Gas Production
101321,"AES Alamitos, LLC",2011,"693,890",No,"693,890",0,0,0,0,"693,890",0,0,"693,890",0,Positive,N/A,"First Environment of California, Inc.",Long Beach,CA,90803,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100194,"AES Huntington Beach, LLC",2011,"659,373",No,"659,373",0,0,0,0,"659,373",0,0,"659,373",0,Positive,N/A,"First Environment of California, Inc.",Huntington Beach,CA,92646,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100257,AES Redondo Beach LLC,2011,"314,000",No,"314,000",0,0,0,0,"314,000",0,0,"314,000",0,Positive,N/A,"First Environment of California, Inc.",Redondo Beach,CA,90277,221112 - Fossil Fuel Electric Power Generation,"C,D",In-State Electricity Generation
104006,Agrium US Inc,2011,"29,249",No,"29,249",0,0,0,0,"29,249",0,0,"29,249",0,Positive,Positive,"DEKRA Certification, Inc. (DCI)",West Sacramento,CA,95691,325311 - Nitrogenous Fertilizer Manufacturing,"C,V",Other Combustion Source
101701,Air Liquide El Segundo Hydrogen Plant,2011,"586,770",No,"586,770",0,0,0,0,"586,770",0,0,"586,770",0,Positive,Positive,Locus Technologies,El Segundo,CA,90245,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
101749,Air Liquide Large Industries US L.P. - Rodeo Hydrogen Plant,2011,"645,397",No,"645,397",0,0,0,0,"645,397",0,0,"645,397",0,Positive,Positive,Locus Technologies,Rodeo,CA,94572,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101017,"Air Products & Chemicals, Inc., Martinez",2011,"258,497",No,"258,497",0,0,0,0,"258,497",0,0,"258,497",0,Positive,Positive,"Conestoga-Rovers & Associates, Inc.",Martinez,CA,94553,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
100014,Air Products - APMC - Stockton CoGen,2011,"497,337",No,"412,758","84,579",0,0,0,"412,758",0,0,"412,758","84,579",Positive,N/A,"Conestoga-Rovers & Associates, Inc.",Stockton,CA,95206,221112 - Fossil Fuel Electric Power Generation,C,Cogeneration
101248,Air Products Carson Hydrogen Plant,2011,"616,026",No,"616,026",0,0,0,0,"616,026",0,0,"616,026",0,Positive,Positive,"Conestoga-Rovers & Associates, Inc.",Carson,CA,90810,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
101512,"Air Products Manufacturing Corporation, Sacramento",2011,"45,158",No,"45,158",0,0,0,0,"45,158",0,0,"45,158",0,Positive,Positive,"Conestoga-Rovers & Associates, Inc.",Sacramento,CA,95826,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
