ARB ID,Facility Name,"Report
Year","Total CO2e 
(combustion, process, vented, and supplier)",AEL, Emitter CO2e from Non-Biogenic Sources and CH4 and N2O from Biogenic Fuels , Emitter CO2 from Biogenic Fuels , Fuel Supplier CO2e from Non-Biogenic Fuels and CH4 and N2O from Biogenic Fuels , Fuel Supplier CO2 from Biogenic Fuels , Electricity Importer CO2e  ," Emitter Covered
Emissions "," Fuel Supplier Covered
Emissions ", Electricity Importer Covered Emissions , Total Covered Emissions , Total Non-Covered Emissions  ,Emissions Data,Product Data,Verification Body,City,State,Zip Code,"North American Industry Classification System (NAICS) 
Code and Description",U.S.EPA/ARB Subparts,Industry Sector
3006,3 Phases Renewables,2016,"102,107",No,0,0,0,0,"102,107",0,0,"2,003","2,003","100,104",Positive,N/A,Analytical Environmental Services,El Segundo,CA,90245,221122 - Electric Power Distribution,EPE,Electricity Importer
104356,3M Corona,2016,"14,891",No,"14,891",0,0,0,0,0,0,0,0,"14,891",N/A,N/A,,Corona,CA,92881,212319 - Other Crushed and Broken Stone Mining and Quarrying,C,Other Combustion Source
104213,ABI Foundry,2016,"16,365",No,"16,365",0,0,0,0,0,0,0,0,"16,365",N/A,N/A,,Oakland,CA,94621,331511 - Iron Foundries,C,Other Combustion Source
104347,"Aemetis Advanced Fuels Keyes, Inc.",2016,"69,793",No,"69,793",0,0,0,0,"69,793",0,0,"69,793",0,Positive,N/A,Analytical Environmental Services,Ceres,CA,95307,325193 - Ethyl Alcohol Manufacturing,C,Other Combustion Source
104019,Aera Energy Belridge Gas Plant 32,2016,"125,749",No,"37,972",0,"87,777",0,0,"37,886","8,447",0,"46,333","79,416",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",McKittrick,CA,93251,211111 - Crude Petroleum and Natural Gas Extraction,"C,NN,W","Oil and Gas Production / Supplier of Natural Gas, NGL, or LPG"
104018,Aera Energy Coastal Basins,2016,"214,504",No,"214,504",0,0,0,0,"213,884",0,0,"213,884",620,Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",San Ardo,CA,93450,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104016,Aera Energy San Joaquin Basin,2016,"3,179,477",No,"3,179,477",0,0,0,0,"3,146,045",0,0,"3,146,045","33,432",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",Bakersfield,CA,93311,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104017,Aera Energy Ventura Basin (opt-in 2014),2016,"8,465",No,"8,465",0,0,0,0,"5,745",0,0,"5,745","2,721",Positive,Positive,"Tetra Tech, Inc. and Subsidiaries",Ventura,CA,93301,211111 - Crude Petroleum and Natural Gas Extraction,"C,W",Oil and Gas Production
104020,Aera Energy Ventura Gas Plant,2016,"4,699",No,"4,699",0,0,0,0,0,0,0,0,"4,699",N/A,N/A,,Ventura,CA,93001,211111 - Crude Petroleum and Natural Gas Extraction,C,Oil and Gas Production
104382,Aerojet Rocketdyne,2016,"9,998",No,"9,998",0,0,0,0,0,0,0,0,"9,998",N/A,N/A,,Sacramento,CA,95742-6418,336415 - Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,C,Other Combustion Source
101321,"AES Alamitos, LLC",2016,"599,928",No,"599,928",0,0,0,0,"599,928",0,0,"599,928",0,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",Long Beach,CA,90803,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100194,"AES Huntington Beach, LLC",2016,"298,403",No,"298,403",0,0,0,0,"298,403",0,0,"298,403",0,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",Huntington Beach,CA,92646,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
100257,AES Redondo Beach LLC,2016,"213,408",No,"213,408",0,0,0,0,"213,408",0,0,"213,408",0,Positive,N/A,"Tetra Tech, Inc. and Subsidiaries",Redondo Beach,CA,90277,221112 - Fossil Fuel Electric Power Generation,D,In-State Electricity Generation
104659,Agera Energy LLC,2016,0,No,0,0,0,0,0,0,0,0,0,0,N/A,N/A,,Briarcliff Maor,NY,10510,221122 - Electric Power Distribution,EPE,Electricity Importer
104554,Agron Bioenergy Fuels,2016,"13,840",No,0,0,12,"13,828",0,0,0,0,0,"13,840",N/A,N/A,,Watsonville,CA,95076,325199 - All Other Basic Organic Chemical Manufacturing,MM,Transportation Fuel Supplier
101701,Air Liquide El Segundo Hydrogen Plant,2016,"644,287",No,"644,287",0,0,0,0,"644,287",0,0,"644,287",0,Positive,Positive,"Trinity Consultants, Inc.",El Segundo,CA,90245,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101749,Air Liquide Large Industries US L.P. - Rodeo Hydrogen Plant,2016,"773,174",No,"773,174",0,0,0,0,"773,174",0,0,"773,174",0,Positive,Positive,"Trinity Consultants, Inc.",Rodeo,CA,94572,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101017,"Air Products & Chemicals, Inc., Martinez",2016,"264,232",No,"264,232",0,0,0,0,"264,232",0,0,"264,232",0,Positive,Positive,Ramboll Environ US Corporation,Martinez,CA,94553,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
101248,Air Products Carson Hydrogen Plant,2016,"743,423",No,"743,423",0,0,0,0,"743,423",0,0,"743,423",0,Positive,Positive,Ramboll Environ US Corporation,Carson,CA,90810,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
101512,"Air Products Manufacturing Corporation, Sacramento",2016,"45,337",No,"45,337",0,0,0,0,"45,337",0,0,"45,337",0,Positive,Positive,Ramboll Environ US Corporation,Sacramento,CA,95826,325120 - Industrial Gas Manufacturing,P,Hydrogen Plant
100127,Air Products Wilmington Hydrogen Plant,2016,"647,842",No,"647,842",0,0,0,0,"647,842",0,0,"647,842",0,Qualified Positive,Positive,Ramboll Environ US Corporation,Wilmington,CA,90744,325120 - Industrial Gas Manufacturing,"C,P",Hydrogen Plant
